asset,type,carrier,scope,interpret,visibility_volume,visibility_capacity
Agriculture,Demand,ELEC,municipal,consumption,visible,visible
Buildings,Demand,ELEC,municipal,consumption,visible,visible
Buildings_hp_electric,Demand,ELEC,municipal,consumption,visible,visible
Buildings_hp_hybrid,Demand,ELEC,municipal,consumption,visible,visible
CO2_storage,Demand,ELEC,municipal,consumption,visible,visible
Datacenters,Demand,ELEC,municipal,consumption,visible,visible
Direct_air_capture,Demand,ELEC,municipal,consumption,visible,visible
District_heat_network,Demand,ELEC,municipal,consumption,visible,visible
Households,Demand,ELEC,municipal,consumption,visible,visible
Households_hp_electric,Demand,ELEC,municipal,consumption,visible,visible
Households_hp_hybrid,Demand,ELEC,municipal,consumption,visible,visible
Other_demand,Demand,ELEC,municipal,consumption,visible,visible
Transport_bus,Demand,ELEC,municipal,consumption,visible,visible
Transport_car,Demand,ELEC,municipal,consumption,visible,visible
Transport_other,Demand,ELEC,municipal,consumption,visible,visible
Transport_plane,Demand,ELEC,municipal,consumption,visible,visible
Transport_ship,Demand,ELEC,municipal,consumption,visible,visible
Transport_train,Demand,ELEC,municipal,consumption,visible,visible
Transport_tram,Demand,ELEC,municipal,consumption,visible,visible
Transport_truck,Demand,ELEC,municipal,consumption,visible,visible
Transport_van,Demand,ELEC,municipal,consumption,visible,visible
Agriculture_CHP,Flexibility,ELEC,municipal,production,visible,visible
Agriculture_PtH,Flexibility,ELEC,municipal,production,visible,visible
Battery_households,Flexibility,ELEC,municipal,storage,disabled,visible
Battery_solar_PV,Flexibility,ELEC,municipal,storage,disabled,visible
Battery_system,Flexibility,ELEC,municipal,storage,disabled,visible
Battery_transport,Flexibility,ELEC,municipal,storage,disabled,visible
Battery_wind_onshore,Flexibility,ELEC,municipal,storage,disabled,visible
Curtailment,Flexibility,ELEC,municipal,others,visible,visible
Datacenters_DSR,Flexibility,ELEC,municipal,others,visible,visible
Deficit,Flexibility,ELEC,municipal,others,visible,visible
District_PtH,Flexibility,ELEC,municipal,consumption,visible,visible
Hydro_storage,Flexibility,ELEC,municipal,storage,disabled,visible
IDES_storage,Flexibility,ELEC,municipal,storage,disabled,visible
MDES_storage,Flexibility,ELEC,municipal,storage,disabled,visible
Power_plant_coal,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_hydrogen,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_hydrogen_backup,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_methane,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_methane_CHP,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_methane_backup,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_nuclear,Flexibility,ELEC,municipal,production,visible,visible
Power_plant_nuclear_SMR,Flexibility,ELEC,municipal,production,visible,visible
