fid,objectid,jrstatcode,gm_code,gm_naam,water,jaar
1,1,2025GM0114,GM0114,Emmen,NEE,2025
2,2,2025GM1509,GM1509,Oude IJsselstreek,NEE,2025
3,3,2025GM0262,GM0262,Lochem,NEE,2025
4,4,2025GM0376,GM0376,Blaricum,NEE,2025
5,5,2025GM0093,GM0093,Terschelling,NEE,2025
7,7,2025GM0866,GM0866,Waalre,NEE,2025
8,8,2025GM0299,GM0299,Zevenaar,NEE,2025
9,9,2025GM0597,GM0597,Ridderkerk,NEE,2025
10,10,2025GM1901,GM1901,Bodegraven-Reeuwijk,NEE,2025
11,11,2025GM0342,GM0342,Soest,NEE,2025
12,12,2025GM0502,GM0502,Capelle aan den IJssel,NEE,2025
16,16,2025GM1621,GM1621,Lansingerland,NEE,2025
17,17,2025GM0197,GM0197,Aalten,NEE,2025
19,19,2025GM1659,GM1659,Laarbeek,NEE,2025
20,20,2025GM1773,GM1773,Olst-Wijhe,NEE,2025
21,21,2025GM0627,GM0627,Waddinxveen,NEE,2025
22,22,2025GM1783,GM1783,Westland,NEE,2025
23,23,2025GM1969,GM1969,Westerkwartier,NEE,2025
24,24,2025GM0882,GM0882,Landgraaf,NEE,2025
25,25,2025GM0482,GM0482,Alblasserdam,NEE,2025
26,26,2025GM0277,GM0277,Rozendaal,NEE,2025
29,29,2025GM0377,GM0377,Bloemendaal,NEE,2025
31,31,2025GM1586,GM1586,Oost Gelre,NEE,2025
32,32,2025GM0150,GM0150,Deventer,NEE,2025
33,33,2025GM0275,GM0275,Rheden,NEE,2025
34,34,2025GM0175,GM0175,Ommen,NEE,2025
35,35,2025GM1734,GM1734,Overbetuwe,NEE,2025
36,36,2025GM0531,GM0531,Hendrik-Ido-Ambacht,NEE,2025
37,37,2025GM0888,GM0888,Beek (L.),NEE,2025
38,38,2025GM0431,GM0431,Oostzaan,NEE,2025
39,39,2025GM0632,GM0632,Woerden,NEE,2025
41,41,2025GM0355,GM0355,Zeist,NEE,2025
43,43,2025GM0141,GM0141,Almelo,NEE,2025
47,47,2025GM1641,GM1641,Maasgouw,NEE,2025
48,48,2025GM1721,GM1721,Bernheze,NEE,2025
49,49,2025GM0797,GM0797,Heusden,NEE,2025
50,50,2025GM1916,GM1916,Leidschendam-Voorburg,NEE,2025
51,51,2025GM1978,GM1978,Molenlanden,NEE,2025
53,53,2025GM1895,GM1895,Oldambt,NEE,2025
54,54,2025GM0086,GM0086,Opsterland,NEE,2025
55,55,2025GM1948,GM1948,Meierijstad,NEE,2025
56,56,2025GM1640,GM1640,Leudal,NEE,2025
58,58,2025GM0173,GM0173,Oldenzaal,NEE,2025
59,59,2025GM0879,GM0879,Zundert,NEE,2025
61,61,2025GM0293,GM0293,Westervoort,NEE,2025
62,62,2025GM0313,GM0313,Bunschoten,NEE,2025
63,63,2025GM0798,GM0798,Hilvarenbeek,NEE,2025
64,64,2025GM1681,GM1681,Borger-Odoorn,NEE,2025
66,66,2025GM0703,GM0703,Reimerswaal,NEE,2025
68,68,2025GM0889,GM0889,Beesel,NEE,2025
69,69,2025GM0498,GM0498,Drechterland,NEE,2025
70,70,2025GM0553,GM0553,Lisse,NEE,2025
71,71,2025GM0193,GM0193,Zwolle,NEE,2025
72,72,2025GM0303,GM0303,Dronten,NEE,2025
73,73,2025GM0637,GM0637,Zoetermeer,NEE,2025
74,74,2025GM0310,GM0310,De Bilt,NEE,2025
76,76,2025GM0166,GM0166,Kampen,NEE,2025
77,77,2025GM0984,GM0984,Venray,NEE,2025
78,78,2025GM1991,GM1991,Maashorst,NEE,2025
81,81,2025GM1674,GM1674,Roosendaal,NEE,2025
84,84,2025GM0294,GM0294,Winterswijk,NEE,2025
85,85,2025GM0222,GM0222,Doetinchem,NEE,2025
86,86,2025GM0736,GM0736,De Ronde Venen,NEE,2025
87,87,2025GM1735,GM1735,Hof van Twente,NEE,2025
88,88,2025GM0753,GM0753,Best,NEE,2025
90,90,2025GM0718,GM0718,Vlissingen,NEE,2025
91,91,2025GM0899,GM0899,Brunssum,NEE,2025
92,92,2025GM0308,GM0308,Baarn,NEE,2025
93,93,2025GM0852,GM0852,Waterland,NEE,2025
94,94,2025GM0301,GM0301,Zutphen,NEE,2025
95,95,2025GM0307,GM0307,Amersfoort,NEE,2025
96,96,2025GM1740,GM1740,Neder-Betuwe,NEE,2025
97,97,2025GM1900,GM1900,Súdwest-Fryslân,NEE,2025
98,98,2025GM0450,GM0450,Uitgeest,NEE,2025
99,99,2025GM0547,GM0547,Leiderdorp,NEE,2025
100,100,2025GM0983,GM0983,Venlo,NEE,2025
101,101,2025GM0088,GM0088,Schiermonnikoog,NEE,2025
102,102,2025GM1896,GM1896,Zwartewaterland,NEE,2025
103,103,2025GM0772,GM0772,Eindhoven,NEE,2025
104,104,2025GM0037,GM0037,Stadskanaal,NEE,2025
105,105,2025GM0225,GM0225,Druten,NEE,2025
107,107,2025GM0532,GM0532,Stede Broec,NEE,2025
108,108,2025GM1655,GM1655,Halderberge,NEE,2025
109,109,2025GM1952,GM1952,Midden-Groningen,NEE,2025
110,110,2025GM1979,GM1979,Eemsdelta,NEE,2025
