Carrier,Type,Sector,ID,Definition,Method/source
Electricity,Demand,Households,Households,Electricity demand residential buildings / households,"Huidige woningvoorraad en PRIMOS-prognose, aangevuld met lokale planinformatie"
Electricity,Demand,Households,Households_hp_electric,Electric heat pump demand residential buildings / households,"CBS data hoofdverwarmingsinstallaties + interne modellen (o.a. uitvraag gemeentes, PBL Startanalyse, woningkarakteristieken)"
Electricity,Demand,Households,Households_hp_hybrid,Hybrid heat pump demand residential buildings / households,"CBS data hoofdverwarmingsinstallaties + interne modellen (o.a. uitvraag gemeentes, PBL Startanalyse, woningkarakteristieken)"
Electricity,Demand,Buildings,Buildings,"Electricity demand non-residential buildings (offices, schools, shops etc.)",Gekoppeld aan woningen
Electricity,Demand,Buildings,Buildings_hp_electric,"Electric heat pump demand non-residential buildings (offices, schools, shops etc.)",Interne modellen (o.a. verbruik & energielabels van gebouwen)
Electricity,Demand,Buildings,Buildings_hp_hybrid,"Hybrid heat pump demand non-residential buildings (offices, schools, shops etc.)",Interne modellen (o.a. verbruik & energielabels van gebouwen)
Electricity,Demand,District heating,District_heat_network,Electricity demand district heat networks,"CBS data hoofdverwarmingsinstallaties + intern model (o.a. uitvraag gemeentes, PBL Startanalyse, woningkarakteristieken)"
Electricity,Demand,Agriculture,Agriculture,Electricity demand agriculture sector,Huidige landbouwwraag
Electricity,Demand,Datacenters,Datacenters,Electricity demand datacenters,"Op basis van bestaande klanten, bekende aansluitaanvragen en groeiprognoses bij netbeheerders"
Electricity,Demand,Industry,Industry_xxx,Electricity demand industry (per subsector),"Op provincieniveau op basis van: Huidige bedrijfslocaties, clusterinformatie (CES 3.0), klantprognoses"
Electricity,Demand,Transport,Transport_car,Charging demand electric passenger cars,Meest recente Elaad outlook data (aantal auto's)
Electricity,Demand,Transport,Transport_bus,Charging demand electric busses,Meest recente Elaad outlook data (aantal bussen)
Electricity,Demand,Transport,Transport_truck,Charging demand electric trucks,Meest recente Elaad outlook data (aantal trucks)
Electricity,Demand,Transport,Transport_van,Charging demand electric vans,Meest recente Elaad outlook data (aantal bestelauto's)
Electricity,Demand,Transport,Transport_train,Electricity demand electric trains,Prorail stationslocaties (evenredige verdeling)
Electricity,Demand,Transport,Transport_tram,Electricity demand electric trams,Publieke locatiedata stations metros & trams
Electricity,Demand,Transport,Transport_other,Charging demand other electric vehicles (e.g. motorbikes),Evenredige verdeling over locaties TenneT stations
Electricity,Demand,Transport,Transport_plane_national,Charging demand electric domestic aviation,Locaties luchthavens in Nederland (evenredige verdeling)
Electricity,Demand,Transport,Transport_plane_international,Charging demand electric international aviation,Locaties internationale luchthavens in Nederland (verdeling o.b.v. aantal passagieren per jaar)
Electricity,Demand,Transport,Transport_ship_national,Charging demand electric domestic shipping,Meest recente Elaad outlook data (aantal schepen)
Electricity,Demand,Transport,Transport_ship_international,Charging demand electric international shipping,Walstroomlocaties zeehavens
Electricity,Demand,Other demand,CO2_storage,Electricity demand for operation of CO2 storages,"Locaties bekende CO2 opslagprojecten (Porthos, Aramis)"
Electricity,Demand,Other demand,Direct_air_capture,Electricity demand Direct Air Capture (DAC),Dichtbij locaties grote (industriële) CO2-uitstooters
Electricity,Demand,Other demand,Other_demand,Other non-specified electricity demand,Evenredige verdeling over buurten
Electricity,Supply,Renewables,Wind_offshore,Wind offshore electrically connected,"Bestaande en bekende toekomstige windparkprojecten (t/m 2035), voor latere scenariojaren inzichten uit WAWOZ (2040) en eigen aannames (2050)"
Electricity,Supply,Renewables,Wind_offshore_hybrid,Wind offshore hybrid connected,"Bekende toekomstige windparkprojecten (t/m 2035) en eigen aannames netbeheerders (2040, 2050)"
Electricity,Supply,Renewables,Wind_onshore,Wind onshore,"Huidige klanten en pijplijn, aangeleverde cijfers vanuit de Regionale Energie Strategieën (RES)"
Electricity,Supply,Renewables,Solar_PV_households,Rooftop solar on households,CERES registraties + intern model (o.a. buurtkarakteristieken en dakpotentie)
Electricity,Supply,Renewables,Solar_PV_buildings,Rooftop solar on buildings,"Huidige klanten en pijplijn, aangeleverde cijfers vanuit de Regionale Energie Strategieën (RES), dakpotentie"
Electricity,Supply,Renewables,Solar_PV_field,Large-scale solar PV field onshore,"Huidige klanten en pijplijn, aangeleverde cijfers vanuit de Regionale Energie Strategieën, en beschikbaar landoppervlak."
Electricity,Supply,Renewables,Solar_PV_offshore,Large-scale solar PV field offshore,Niet van toepassing
Electricity,Supply,Renewables,Power_plant_biomass,Small (decentral) biomass plants,Locaties bestaande centrales
Electricity,Supply,Renewables,Hydro_RoR,Run-of-river plants,Locaties bestaande centrales
Electricity,Flexibility,Agriculture,Agriculture_CHP,CHP plants in agricultural sector,Bestaande WKK's (+ enkele concrete aanvragen)
Electricity,Flexibility,Agriculture,Agriculture_PtH,Flexible power-to-heat in agriculture sector,Volgt vraalocaties landbouw
Electricity,Flexibility,Curtailment,Curtailment,Market curtailment of renewable energy production,Modelmatig berekend
Electricity,Flexibility,Datacenters,Datacenters_DSR,Flexible Demand Side Response (DSR) in datacenters,Locaties datacenters
Electricity,Flexibility,Industry,Industry_xxx,"Combined heat- and power plants (CHP), Demand Side Response (DSR), Power-to-Heat (PtH)","Huidige en locaties volgens opgave industrie (CES 3.0), DSR volgens vraagverdeling per subsector"
Electricity,Flexibility,Power plants,Power_plant_nuclear,Large nuclear power plants,Bestaande centrale Borssele + voorziene locaties voor nieuwe grote kerncentrales
Electricity,Flexibility,Power plants,Power_plant_nuclear_SMR,Small Modular Reactor (SMR) power plants,Aanname potentieel geschikte locaties landinwaarts o.b.v. koelwatervoorziening en dichtbij (baseload) vraag
Electricity,Flexibility,Power plants,Power_plant_coal,(Bio)coal power plants,Locaties bestaande centrales
Electricity,Flexibility,Power plants,Power_plant_methane_CHP,Decentral methane CHP power plants,Locaties bestaande centrales
Electricity,Flexibility,Power plants,Power_plant_methane,Existing methane power plants,Locaties bestaande centrales
Electricity,Flexibility,Power plants,Power_plant_methane_backup,New-built methane power plants (turbines) providing backup capacity,"Modelmatig berekend, plaatsing alleen toegestaan binnen BARRO locaties"
Electricity,Flexibility,Power plants,Power_plant_hydrogen,Existing methane power plants retrofitted to hydrogen,Locaties bestaande centrales
Electricity,Flexibility,Power plants,Power_plant_hydrogen_backup,New-built hydrogen power plants (turbines) providing backup capacity,"Modelmatig berekend, plaatsing alleen toegestaan binnen BARRO locaties"
Electricity,Flexibility,Power plants,Power_plant_other,Other power plants,Locaties bestaande centrales
Electricity,Flexibility,Power plants,Power_plant_waste,Waste power plants,Locaties bestaande centrales
Electricity,Flexibility,Power-to-gas,Power_to_gas_offshore,Flexible power-to-gas / electrolyzers offshore,Locaties gekoppeld aan aangenomen locaties van hybride windparken op zee
Electricity,Flexibility,Power-to-gas,Power_to_gas_onshore,Flexible power-to-gas / electrolyzers onshore,"Locaties volgens bekende en voldoende concrete projecten, rest Modelmatig berekend"
Electricity,Flexibility,Power-to-heat,District_PtH,Flexible power-to-heat for district heating,Volgt warmtenetten (district_heating)
Electricity,Flexibility,Electricity storage,Battery_transport,Battery storage (V2G) in electric vehicles,Gelijk aan regionalisatie elektrische auto's
Electricity,Flexibility,Electricity storage,Battery_households,Battery storage in households,Verdeling over huishoudens met zon PV
Electricity,Flexibility,Electricity storage,Battery_solar_PV,Co-located battery storage at solar PV field plant,Gelijk aan regionalisatie grootschalige zon PV
Electricity,Flexibility,Electricity storage,Battery_wind_onshore,Co-located battery storage at wind onshore plant,Gelijk aan regionalisatie wind op land
Electricity,Flexibility,Electricity storage,Battery_system,Large scale (grid) battery,"Locaties volgens bekende en voldoende concrete projecten, rest Modelmatig berekend"
